period,revenue,net_profit,interest_payable,ebitda,inn,name
2022,24597.0,671.0,,671.0,5246034383,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРГАЗ-СЕРВИС"""
2021,27010.0,1599.0,,1599.0,5246034383,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРГАЗ-СЕРВИС"""
2025,4540.0,-10694.0,,-10694.0,2801133373,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДОНИС"""
2024,27779.0,5.0,,5.0,2801133373,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДОНИС"""
2023,11263.0,-81.0,,-81.0,2801133373,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДОНИС"""
2022,23971.0,-40.0,,-40.0,2801133373,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДОНИС"""
2021,40763.0,-5166.0,,-5166.0,2801133373,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДОНИС"""
2025,90090.0,16714.0,,16714.0,8601049319,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНТАЖСТРОЙСЕРВИС"""
2024,89649.0,2049.0,,2049.0,8601049319,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНТАЖСТРОЙСЕРВИС"""
2023,66651.0,3671.0,,3671.0,8601049319,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНТАЖСТРОЙСЕРВИС"""
2021,77138000.0,1622677.0,,1622677.0,8601049319,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНТАЖСТРОЙСЕРВИС"""
2025,973307.0,11663.0,0.0,11663.0,2723130767,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬИНТЕР-СЕРВИС"""
2024,995834.0,372487.0,0.0,372487.0,2723130767,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬИНТЕР-СЕРВИС"""
2023,518010.0,4465.0,1919.0,6384.0,2723130767,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬИНТЕР-СЕРВИС"""
2022,442578.0,19722.0,300.0,20022.0,2723130767,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬИНТЕР-СЕРВИС"""
2021,324379.0,19399.0,822.0,20221.0,2723130767,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬИНТЕР-СЕРВИС"""
2025,573521.0,20370.0,13041.0,33411.0,2311103732,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТА СТРОЙ"""
2024,209293.0,11104.0,10085.0,21189.0,2311103732,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТА СТРОЙ"""
2023,202476.0,6558.0,-8366.0,-1808.0,2311103732,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТА СТРОЙ"""
2022,235547.0,4849.0,4707.0,9556.0,2311103732,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТА СТРОЙ"""
2021,125817.0,1973.0,1708.0,3681.0,2311103732,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТА СТРОЙ"""
2025,324335.0,14820.0,,14820.0,6316172423,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТСТРОЙ"""
2024,265141.0,15713.0,,15713.0,6316172423,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТСТРОЙ"""
2023,163090.0,561.0,,561.0,6316172423,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТСТРОЙ"""
2022,208377.0,17320.0,,17320.0,6316172423,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТСТРОЙ"""
2021,181631.0,16181.0,,16181.0,6316172423,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТСТРОЙ"""
2025,2200.0,-15401.0,3070.0,-12331.0,2130098953,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКОН-РАЗВИТИЕ"""
2024,17268.0,518.0,812.0,1330.0,2130098953,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКОН-РАЗВИТИЕ"""
2023,15790.0,8465.0,285.0,8750.0,2130098953,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКОН-РАЗВИТИЕ"""
2022,59671.0,-1870.0,177.0,-1693.0,2130098953,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКОН-РАЗВИТИЕ"""
2021,22284.0,1119.0,82.0,1201.0,2130098953,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКОН-РАЗВИТИЕ"""
2025,403295.0,10340.0,21765.0,32105.0,0523013205,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНСТРОЙ"""
2024,414537.0,98007.0,8985.0,106992.0,0523013205,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНСТРОЙ"""
2023,73412.0,-22017.0,8778.0,-13239.0,0523013205,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНСТРОЙ"""
2022,1109102.0,20761.0,15269.0,36030.0,0523013205,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНСТРОЙ"""
2021,632528.0,7833.0,10773.0,18606.0,0523013205,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНСТРОЙ"""
2025,314710.0,19251.0,2257.0,21508.0,1658196107,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМСТРОЙМОНТАЖ"""
2024,458002.0,68872.0,141.0,69013.0,1658196107,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМСТРОЙМОНТАЖ"""
2023,375703.0,286416.0,,286416.0,1658196107,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМСТРОЙМОНТАЖ"""
2022,353810.0,33877.0,,33877.0,1658196107,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМСТРОЙМОНТАЖ"""
2021,319013.0,150479.0,0.0,150479.0,1658196107,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМСТРОЙМОНТАЖ"""
2025,69836.0,139.0,,139.0,6670344583,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНАНГРУПП"""
2024,78255.0,531.0,,531.0,6670344583,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНАНГРУПП"""
2023,109272.0,495.0,,495.0,6670344583,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНАНГРУПП"""
2025,164970.0,2555.0,,2555.0,5075025996,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗТЕПЛОПРОМ"""
2024,121495.0,2471.0,,2471.0,5075025996,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗТЕПЛОПРОМ"""
2023,54883.0,533.0,,533.0,5075025996,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗТЕПЛОПРОМ"""
2022,76962.0,1053.0,,1053.0,5075025996,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗТЕПЛОПРОМ"""
2021,64657.0,459.0,,459.0,5075025996,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗТЕПЛОПРОМ"""
2025,213687.0,7889.0,,7889.0,7105055874,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗПРОМТОРГ"""
2024,115317.0,8202.0,,8202.0,7105055874,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗПРОМТОРГ"""
2023,460581.0,7970.0,,7970.0,7105055874,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗПРОМТОРГ"""
2022,327492.0,7417.0,,7417.0,7105055874,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗПРОМТОРГ"""
2021,199946.0,6843.0,,6843.0,7105055874,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗПРОМТОРГ"""
2024,,,,,6413009430,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕРШОВСКИЙ ЗАВОД БЕТОННЫХ ИЗДЕЛИЙ"""
2023,,,,,6413009430,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕРШОВСКИЙ ЗАВОД БЕТОННЫХ ИЗДЕЛИЙ"""
2021,77265.0,90.0,,90.0,6413009430,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕРШОВСКИЙ ЗАВОД БЕТОННЫХ ИЗДЕЛИЙ"""
2025,232988.0,1466.0,1083.0,2549.0,7204159264,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНЬПРОММОНТАЖ"""
2024,371567.0,3698.0,1813.0,5511.0,7204159264,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНЬПРОММОНТАЖ"""
2023,160026.0,1463.0,1800.0,3263.0,7204159264,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНЬПРОММОНТАЖ"""
2022,207905.0,1325.0,839.0,2164.0,7204159264,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНЬПРОММОНТАЖ"""
2021,47840.0,-10722.0,871.0,-9851.0,7204159264,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНЬПРОММОНТАЖ"""
2025,1629908.0,218168.0,,218168.0,2524004983,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ"""
2024,2958053.0,589116.0,,589116.0,2524004983,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ"""
2023,1909701.0,266510.0,,266510.0,2524004983,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ"""
2022,1386615.0,62674.0,0.0,62674.0,2524004983,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ"""
2021,1111932.0,21209.0,85.0,21294.0,2524004983,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ"""
2022,119905.0,89.0,340.0,429.0,7810750660,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННОЕ СНАБЖЕНИЕ"""
2021,561893.0,17137.0,3393.0,20530.0,7810750660,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННОЕ СНАБЖЕНИЕ"""
2025,244074.0,584.0,,584.0,7708353782,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МСК ""ПАРИТЕТ"""
2024,240679.0,480.0,,480.0,7708353782,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МСК ""ПАРИТЕТ"""
2023,223024.0,507.0,,507.0,7708353782,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МСК ""ПАРИТЕТ"""
2022,234492.0,587.0,,587.0,7708353782,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МСК ""ПАРИТЕТ"""
2021,123976.0,313.0,,313.0,7708353782,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МСК ""ПАРИТЕТ"""
2025,276947.0,155.0,8389.0,8544.0,1326233316,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СТРОЙКОМ"""
2024,349828.0,367.0,,367.0,1326233316,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СТРОЙКОМ"""
2023,292476.0,304.0,,304.0,1326233316,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СТРОЙКОМ"""
2022,238416.0,252.0,,252.0,1326233316,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СТРОЙКОМ"""
2021,147265.0,751.0,,751.0,1326233316,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СТРОЙКОМ"""
2022,267500.0,1696.0,,1696.0,7017421842,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙПРОЕКТ"""
2021,276406.0,1276.0,,1276.0,7017421842,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙПРОЕКТ"""
2025,1923013.0,42712.0,,42712.0,0608005450,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССТРОЙ"""
2024,671356.0,13264.0,,13264.0,0608005450,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССТРОЙ"""
2023,1119522.0,44781.0,,44781.0,0608005450,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССТРОЙ"""
2022,214575.0,8583.0,,8583.0,0608005450,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССТРОЙ"""
2021,189971.0,11398.0,,11398.0,0608005450,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССТРОЙ"""
2025,0.0,-39242.0,4312.0,-34930.0,6164122224,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН"""
2024,28413.0,14833.0,5079.0,19912.0,6164122224,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН"""
2023,425535.0,23406.0,2905.0,26311.0,6164122224,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН"""
2022,165343.0,17674.0,1196.0,18870.0,6164122224,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН"""
2021,495014.0,-6627.0,1102.0,-5525.0,6164122224,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН"""
2025,101028.0,857.0,0.0,857.0,7703307101,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ТЕХНОЛОГИИ МОНТАЖ"""
2024,268920.0,15625.0,107.0,15732.0,7703307101,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ТЕХНОЛОГИИ МОНТАЖ"""
2023,217097.0,1961.0,86.0,2047.0,7703307101,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ТЕХНОЛОГИИ МОНТАЖ"""
2022,144294.0,1841.0,,1841.0,7703307101,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ТЕХНОЛОГИИ МОНТАЖ"""
2021,87047.0,562.0,,562.0,7703307101,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ТЕХНОЛОГИИ МОНТАЖ"""
2025,457545.0,1567.0,0.0,1567.0,7714300669,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРДЕНА ТРЕЙДИНГ"""
2024,475599.0,5261.0,,5261.0,7714300669,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРДЕНА ТРЕЙДИНГ"""
2023,290479.0,3655.0,,3655.0,7714300669,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРДЕНА ТРЕЙДИНГ"""
2022,410572.0,-4578.0,,-4578.0,7714300669,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРДЕНА ТРЕЙДИНГ"""
2021,379226.0,1537.0,,1537.0,7714300669,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРДЕНА ТРЕЙДИНГ"""
2025,172766.0,893.0,101.0,994.0,7329004876,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛСТРОЙ"""
2024,134397.0,131.0,199.0,330.0,7329004876,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛСТРОЙ"""
2023,204023.0,4774.0,421.0,5195.0,7329004876,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛСТРОЙ"""
2022,148259.0,12970.0,139.0,13109.0,7329004876,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛСТРОЙ"""
2021,84267.0,1597.0,277.0,1874.0,7329004876,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛСТРОЙ"""
2025,350324.0,1223.0,3926.0,5149.0,0274150230,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ ФИРМА - 15 БНЗС"""
2024,234136.0,124.0,2119.0,2243.0,0274150230,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ ФИРМА - 15 БНЗС"""
2023,1170695.0,8597.0,1116.0,9713.0,0274150230,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ ФИРМА - 15 БНЗС"""
2022,530008.0,2434.0,0.0,2434.0,0274150230,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ ФИРМА - 15 БНЗС"""
2021,913681.0,760.0,-312.0,448.0,0274150230,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ ФИРМА - 15 БНЗС"""
2025,93936.0,1230.0,,1230.0,7326001355,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПМК ""УЛЬЯНОВСКАЯ"""
2024,127895.0,887.0,,887.0,7326001355,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПМК ""УЛЬЯНОВСКАЯ"""
2023,,,,,7326001355,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПМК ""УЛЬЯНОВСКАЯ"""
2022,63101.0,148.0,6.0,154.0,7326001355,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПМК ""УЛЬЯНОВСКАЯ"""
2021,45422.0,24.0,51.0,75.0,7326001355,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПМК ""УЛЬЯНОВСКАЯ"""
2025,119350.0,-1411.0,787.0,-624.0,3662112760,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""КВАРТАЛ"""
2024,48227.0,11815.0,1722.0,13537.0,3662112760,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""КВАРТАЛ"""
2023,172467.0,53801.0,2473.0,56274.0,3662112760,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""КВАРТАЛ"""
2022,128472.0,39127.0,4870.0,43997.0,3662112760,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""КВАРТАЛ"""
2021,54521.0,-23440.0,6845.0,-16595.0,3662112760,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""КВАРТАЛ"""
2025,68801.0,214.0,,214.0,7716725032,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТЕРА"""
2024,65163.0,799.0,,799.0,7716725032,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТЕРА"""
2023,9224.0,-71.0,,-71.0,7716725032,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТЕРА"""
2022,12072.0,-76.0,,-76.0,7716725032,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТЕРА"""
2021,20227.0,-12043.0,,-12043.0,7716725032,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТЕРА"""
2025,788087.0,19114.0,6001.0,25115.0,7447245469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ СТРОЙКОМПЛЕКТ"""
2024,733168.0,42011.0,5546.0,47557.0,7447245469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ СТРОЙКОМПЛЕКТ"""
2023,360992.0,9659.0,2161.0,11820.0,7447245469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ СТРОЙКОМПЛЕКТ"""
2022,465008.0,6014.0,1882.0,7896.0,7447245469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ СТРОЙКОМПЛЕКТ"""
2021,504973.0,15466.0,1407.0,16873.0,7447245469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ СТРОЙКОМПЛЕКТ"""
2024,52870.0,7201.0,,7201.0,1656105577,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНИТ"""
2023,190133.0,34981.0,,34981.0,1656105577,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНИТ"""
2022,73741.0,15439.0,,15439.0,1656105577,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНИТ"""
2021,0.0,-13582.0,,-13582.0,1656105577,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНИТ"""
2025,426952.0,3582.0,,3582.0,2452020415,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ПЕНТАР"""
2024,570131.0,3601.0,,3601.0,2452020415,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ПЕНТАР"""
2023,301789.0,1813.0,,1813.0,2452020415,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ПЕНТАР"""
